Application mode,Course,Tuition fees up to date,Gender,Scholarship holder,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
17,9254,1,1,0,6,12,3,11.666666666666666,0,6,12,1,12.0,Dropout
1,9773,1,1,0,6,8,6,12.333333333333334,0,6,11,3,12.333333333333334,Graduate
17,9147,1,1,0,5,8,3,10.333333333333334,0,5,11,3,10.857142857142858,Dropout
18,9254,1,1,1,6,8,4,10.5,0,6,11,1,11.0,Dropout
17,9773,1,1,1,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,Graduate
17,9500,1,1,1,7,7,7,14.842857142857142,0,8,9,8,15.055555555555555,Graduate
39,8014,1,1,0,6,8,6,12.0,0,6,6,6,11.666666666666666,Graduate
1,9853,1,1,0,6,8,5,12.2,0,6,7,5,12.2,Dropout
39,9991,1,1,0,1,1,0,0.0,0,5,0,0,0.0,Dropout
39,9003,1,1,0,12,17,6,12.166666666666666,7,12,14,10,13.3,Dropout
17,9254,1,1,0,5,6,5,12.0,0,5,8,3,11.333333333333334,Enrolled
39,8014,1,0,0,6,7,6,11.0,0,6,11,5,11.0,Graduate
42,9500,1,0,1,8,8,7,13.08,0,8,8,7,13.08,Graduate
39,9670,1,0,1,5,7,4,10.5,0,5,7,5,11.6,Graduate
17,9070,1,1,0,6,9,6,10.666666666666666,0,6,6,5,11.2,Graduate
1,9147,1,1,0,5,6,4,14.0,0,5,5,5,13.8,Enrolled
43,9119,1,1,0,5,9,2,10.0,0,5,9,0,0.0,Enrolled
39,9500,1,1,0,7,18,0,0.0,0,7,7,0,0.0,Dropout
17,9773,0,0,0,6,6,6,14.0,0,6,6,6,13.5,Graduate
15,9130,1,0,0,6,7,2,12.0,0,6,6,0,0.0,Dropout
39,9853,1,0,0,6,12,3,12.666666666666666,0,6,14,0,0.0,Dropout
39,8014,1,0,0,8,11,8,11.875,0,6,7,6,12.333333333333334,Graduate
15,9119,1,1,0,5,9,5,14.0,0,5,11,3,13.25,Enrolled
1,9773,1,0,0,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,Graduate
1,9500,1,0,1,7,7,7,13.75,0,8,9,8,14.47777777777778,Graduate
1,9085,1,0,0,5,7,5,14.2,0,5,7,5,13.8,Enrolled
1,9500,0,0,0,7,10,4,11.96,0,7,7,0,0.0,Dropout
53,9085,1,0,0,10,12,8,12.875,4,9,14,5,13.4,Dropout
1,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Graduate
39,8014,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
39,9003,1,0,0,18,19,18,14.63157894736842,10,13,14,13,14.23076923076923,Graduate
18,9853,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
51,9070,1,0,0,10,12,10,13.0,5,11,11,11,12.272727272727272,Graduate
1,9238,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
1,9085,1,0,0,6,15,4,14.2,0,6,17,4,13.25,Dropout
1,9500,1,0,0,7,9,6,13.266666666666666,0,7,10,5,12.3,Dropout
17,9853,1,0,0,7,12,6,11.666666666666666,0,7,10,3,13.0,Enrolled
1,9238,1,0,0,6,8,6,13.857142857142858,0,6,6,6,15.0,Graduate
17,9147,1,0,1,5,9,3,13.0,0,5,11,3,11.0,Enrolled
1,9085,1,0,0,5,6,5,13.4,0,5,5,5,12.8,Graduate
1,9773,1,0,0,6,6,6,12.666666666666666,0,6,7,6,12.571428571428571,Graduate
17,9500,1,0,0,7,7,6,12.516666666666666,0,7,7,6,12.516666666666666,Dropout
43,9500,1,0,0,7,11,6,11.616666666666667,0,7,7,7,13.0,Enrolled
17,9238,1,0,1,6,13,2,10.0,0,6,12,4,10.75,Enrolled
17,9147,1,0,0,5,11,3,10.333333333333334,0,5,10,3,10.666666666666666,Enrolled
1,9085,1,0,0,5,12,5,13.142857142857142,0,5,6,5,11.4,Graduate
1,9147,1,0,0,5,5,5,12.6,0,5,5,5,14.0,Graduate
17,9254,1,0,0,6,12,3,11.0,0,6,12,2,11.0,Dropout
1,9147,1,0,0,5,8,5,10.8,0,5,9,4,11.25,Graduate
1,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Dropout
1,9670,1,0,1,5,5,5,12.8,0,5,5,5,14.2,Graduate
1,9085,1,0,0,6,15,6,14.166666666666666,0,6,13,6,12.2,Graduate
17,9556,1,0,0,7,12,5,12.1,0,7,0,0,0.0,Dropout
44,9085,1,0,0,6,7,6,14.166666666666666,1,6,17,5,13.77777777777778,Graduate
1,9853,1,0,1,6,8,5,12.8,0,6,7,5,13.4,Enrolled
17,9238,1,0,0,6,7,6,13.0,0,6,6,6,13.666666666666666,Graduate
17,9500,1,0,0,7,7,7,13.467142857142855,0,8,9,8,15.011111111111113,Graduate
1,9500,1,0,1,7,9,7,13.2375,0,8,9,7,13.742857142857144,Dropout
17,9070,1,0,0,6,6,6,12.333333333333334,0,6,6,6,13.0,Graduate
1,9147,1,0,0,5,7,5,12.4,0,5,5,5,14.6,Graduate
17,9500,1,0,0,7,8,5,14.0,0,7,7,0,0.0,Dropout
43,9238,1,0,0,9,15,9,11.666666666666666,2,7,8,7,11.714285714285714,Graduate
1,9670,0,0,1,6,7,5,12.0,0,6,9,4,12.5,Dropout
17,9670,1,0,0,5,7,4,12.2,0,5,5,4,11.5,Graduate
1,9773,1,0,1,6,6,6,14.833333333333334,0,6,6,6,14.833333333333334,Graduate
1,9500,1,0,1,7,9,5,13.188,0,8,9,7,12.892857142857142,Enrolled
18,9500,1,0,0,7,8,7,17.125,0,8,8,8,17.5875,Graduate
1,9500,1,0,0,7,7,6,12.666666666666666,0,7,7,6,12.666666666666666,Graduate
1,9773,1,0,1,6,8,6,12.666666666666666,0,6,10,5,12.0,Graduate
51,9147,0,0,0,5,8,0,0.0,0,5,7,0,0.0,Enrolled
1,9238,1,0,1,6,7,6,11.333333333333334,0,6,6,6,11.5,Graduate
1,9500,1,0,1,7,10,7,13.605,0,8,11,8,12.33125,Graduate
17,9853,1,0,1,6,10,5,12.0,0,6,9,5,10.8,Graduate
1,9254,1,0,0,5,10,0,0.0,0,5,10,0,0.0,Dropout
17,9254,1,0,0,6,8,5,11.2,0,6,12,3,11.666666666666666,Dropout
1,9147,1,0,0,5,10,5,13.375,0,5,9,5,14.166666666666666,Graduate
1,9500,1,0,1,7,8,6,13.863333333333337,0,8,9,7,14.178571428571429,Graduate
1,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Enrolled
1,9085,1,0,0,5,6,5,12.4,0,5,6,5,13.4,Graduate
17,9853,1,0,0,6,11,3,12.333333333333334,0,6,10,5,10.833333333333334,Enrolled
1,9853,1,0,0,6,7,6,13.333333333333334,0,6,8,5,11.8,Graduate
43,9853,1,0,0,6,10,3,12.666666666666666,0,6,12,3,10.0,Dropout
1,9853,1,0,0,6,8,6,12.0,0,6,10,4,11.5,Dropout
1,9147,1,0,1,5,5,5,10.6,0,5,5,5,11.8,Graduate
17,9238,1,0,1,6,8,6,12.25,0,6,7,6,11.857142857142858,Graduate
1,9238,1,0,0,6,10,4,11.0,0,6,9,6,11.833333333333334,Graduate
39,8014,1,0,1,6,11,5,11.0,0,6,9,5,12.6,Graduate
1,9670,1,0,0,6,6,6,13.166666666666666,0,6,9,6,13.0,Dropout
1,9500,1,0,1,7,9,7,12.855555555555554,0,8,12,7,12.761111111111113,Graduate
1,9500,1,0,0,7,8,7,14.91875,0,8,8,8,15.355,Graduate
17,9853,1,0,0,6,13,4,11.5,0,6,10,3,11.0,Dropout
17,9670,1,0,0,5,5,5,14.2,0,5,5,5,14.2,Graduate
17,9773,1,0,1,6,6,6,12.5,0,6,7,6,13.0,Graduate
39,9003,1,0,0,1,1,0,0.0,0,6,0,0,0.0,Enrolled
17,9238,1,0,0,6,10,5,11.666666666666666,0,6,12,4,11.0,Graduate
39,9500,1,0,0,8,8,7,14.257142857142856,1,8,8,7,14.257142857142856,Graduate
43,9238,1,0,0,6,13,3,12.0,0,6,12,2,11.333333333333334,Dropout
39,9085,1,0,0,5,13,4,11.25,0,5,11,4,10.5,Enrolled
17,9556,1,0,0,7,8,7,12.457142857142856,0,8,8,8,13.5625,Graduate
17,9500,1,0,0,7,7,6,11.683333333333332,0,7,7,6,11.683333333333332,Graduate
42,8014,1,0,0,6,10,3,11.666666666666666,0,6,8,5,12.0,Graduate
17,9254,0,0,0,6,8,4,11.75,0,6,6,6,13.166666666666666,Dropout
1,9670,1,0,1,5,6,3,11.666666666666666,0,5,6,4,13.5,Enrolled
39,9853,1,0,0,6,9,5,13.2,0,6,10,5,12.0,Graduate
1,9500,1,0,0,7,8,4,11.95,0,7,8,4,11.95,Dropout
1,9853,1,0,0,6,8,5,12.4,0,6,12,5,10.4,Dropout
7,9500,1,0,0,7,8,6,14.35,3,8,10,6,14.583333333333334,Dropout
43,9853,1,0,0,21,21,21,12.61904761904762,13,19,19,19,12.789473684210526,Graduate
44,9991,1,0,1,6,7,6,12.666666666666666,2,6,7,6,13.166666666666666,Enrolled
39,9773,0,0,0,6,6,5,12.0,0,6,6,0,0.0,Dropout
18,9070,0,0,0,6,6,6,12.166666666666666,0,6,6,0,0.0,Dropout
17,9254,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
18,9147,0,0,0,5,9,3,10.0,0,5,9,3,10.571428571428571,Dropout
43,9238,0,0,0,10,18,8,11.5,0,6,12,4,10.0,Enrolled
17,9500,1,0,1,7,7,6,13.05,0,7,7,6,13.05,Graduate
39,9085,1,0,0,6,10,2,11.0,0,6,6,0,0.0,Dropout
17,9070,1,0,0,6,7,6,11.5,0,6,6,6,12.0,Graduate
1,9254,1,0,1,6,7,6,12.0,0,6,6,6,12.5,Graduate
1,8014,1,0,0,6,13,2,10.0,0,5,12,1,10.0,Enrolled
39,9147,1,0,0,5,5,0,0.0,0,5,5,0,0.0,Dropout
51,9853,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
1,9500,1,0,0,8,8,7,12.242857142857144,0,8,8,7,12.242857142857144,Graduate
39,9991,1,0,0,5,0,0,0.0,0,5,0,0,0.0,Dropout
18,9500,1,0,0,8,8,8,12.93375,0,8,8,8,12.93375,Graduate
7,9119,1,0,0,5,0,0,0.0,0,5,0,0,0.0,Dropout
1,9853,1,0,0,7,9,7,12.571428571428571,0,7,8,7,14.428571428571429,Graduate
39,9500,1,0,0,3,4,3,11.816666666666668,0,3,3,3,11.333333333333334,Enrolled
1,9085,1,0,0,5,9,4,13.75,0,5,13,4,14.333333333333334,Graduate
1,9238,1,0,0,6,8,6,11.166666666666666,0,6,6,6,11.333333333333334,Graduate
1,9500,1,0,0,8,8,7,12.324285714285711,0,8,8,7,12.324285714285711,Graduate
44,9238,1,0,0,6,6,6,12.166666666666666,2,6,7,6,11.714285714285714,Graduate
17,9238,1,0,1,6,11,5,11.142857142857142,0,6,11,4,11.25,Graduate
1,9238,1,0,0,6,9,4,11.0,0,6,9,4,10.75,Graduate
1,9500,1,0,0,8,8,7,12.914285714285713,0,8,8,7,12.914285714285713,Graduate
1,9773,1,0,1,6,6,6,13.833333333333334,0,6,6,6,14.166666666666666,Graduate
1,9085,1,0,0,6,8,6,13.857142857142858,0,6,9,5,13.4,Graduate
39,9254,1,0,1,6,7,6,13.714285714285714,0,6,6,5,12.8,Dropout
1,9500,1,0,1,8,8,7,12.642857142857142,0,8,8,7,12.642857142857142,Graduate
1,9500,1,0,1,7,7,6,12.916666666666666,0,7,7,6,12.916666666666666,Graduate
43,9130,1,0,1,6,8,6,15.625,0,6,8,6,15.857142857142858,Graduate
39,9991,1,0,1,5,7,0,0.0,0,5,8,0,0.0,Dropout
43,9773,1,0,0,6,8,6,11.714285714285714,0,6,7,6,12.0,Graduate
39,9556,1,0,0,7,10,6,12.125,0,8,9,8,13.3125,Enrolled
18,9147,1,0,1,5,7,5,11.6,0,5,5,5,11.6,Graduate
39,8014,1,0,0,6,11,1,10.0,0,6,6,0,0.0,Dropout
39,8014,1,0,1,6,16,1,10.0,0,6,13,0,0.0,Dropout
17,9085,1,0,0,5,10,0,0.0,0,5,9,2,13.5,Dropout
1,9147,1,0,1,5,7,4,13.0,0,5,8,3,12.333333333333334,Graduate
1,9853,1,0,1,6,6,6,13.333333333333334,0,6,6,6,14.5,Graduate
1,9254,1,0,0,6,9,4,11.25,0,6,13,2,12.5,Dropout
51,9500,1,0,1,7,9,5,13.85,0,8,9,7,12.19285714285714,Graduate
18,9500,1,0,1,7,8,6,13.741666666666667,0,8,9,7,14.9125,Graduate
7,9991,1,0,0,6,7,6,15.333333333333334,0,5,5,5,15.8,Graduate
7,9147,1,0,0,5,6,5,11.0,0,5,5,5,13.8,Graduate
1,9238,1,0,1,6,6,6,12.0,0,6,7,6,12.857142857142858,Graduate
39,9670,1,0,0,5,5,0,0.0,0,5,5,0,0.0,Dropout
43,9500,1,0,1,8,15,7,11.571428571428571,0,8,15,7,11.571428571428571,Graduate
1,9254,1,0,0,6,10,6,12.857142857142858,0,6,6,3,12.666666666666666,Graduate
39,9254,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
1,9670,1,0,0,5,5,5,13.0,0,5,5,5,13.2,Graduate
1,9254,1,0,1,6,9,5,11.0,0,6,8,5,12.0,Graduate
1,9147,1,0,0,5,12,3,12.0,0,5,12,1,15.0,Dropout
1,9238,1,0,1,6,6,5,12.6,0,6,6,6,13.0,Graduate
1,9853,1,0,1,6,8,5,13.4,0,6,7,6,13.166666666666666,Graduate
17,9238,1,0,1,6,9,6,11.333333333333334,0,6,9,6,11.571428571428571,Graduate
1,9130,0,0,0,5,14,4,13.5,0,5,10,4,14.25,Dropout
39,9085,0,0,0,6,11,3,11.75,1,6,14,3,10.333333333333334,Dropout
1,9500,1,0,0,7,10,6,12.471428571428572,0,7,8,7,11.4625,Enrolled
16,171,1,0,0,17,19,11,12.909090909090908,9,13,15,9,13.555555555555555,Enrolled
1,9147,1,0,1,5,5,5,11.6,0,5,5,5,13.6,Graduate
39,9147,0,0,0,5,5,0,0.0,0,5,9,0,0.0,Dropout
1,9147,1,0,1,10,13,9,12.9,4,10,12,10,12.363636363636363,Graduate
7,9500,1,0,0,8,8,8,13.22,0,8,8,8,13.22,Graduate
17,9500,1,0,1,8,8,7,13.151428571428571,0,8,8,7,13.151428571428571,Graduate
44,9003,0,0,0,6,13,3,12.75,0,6,8,3,11.333333333333334,Dropout
1,9254,1,0,0,6,8,6,11.333333333333334,0,6,8,4,12.25,Graduate
1,9670,1,0,1,6,10,6,13.25,0,6,13,5,14.142857142857142,Graduate
1,9070,1,0,0,6,7,5,12.4,0,6,6,5,12.4,Enrolled
1,9773,1,0,1,6,6,6,15.0,0,6,6,6,12.833333333333334,Dropout
1,9085,1,0,0,5,6,5,14.4,0,5,6,5,13.0,Graduate
1,9773,1,0,0,6,12,1,11.0,0,6,12,0,0.0,Enrolled
17,9147,1,0,0,5,8,5,12.4,0,5,6,5,10.8,Graduate
39,9556,0,0,1,7,13,1,16.0,0,7,12,0,0.0,Dropout
17,9991,1,0,0,5,10,5,13.571428571428571,0,5,14,5,12.333333333333334,Graduate
17,9070,1,0,0,6,6,6,11.833333333333334,0,6,6,6,12.5,Enrolled
1,9238,1,0,1,6,8,5,11.666666666666666,0,6,9,5,12.666666666666666,Graduate
43,9238,0,0,0,10,16,6,11.833333333333334,2,7,8,2,13.0,Dropout
1,9254,1,0,1,6,8,6,11.166666666666666,0,6,10,5,10.6,Graduate
39,8014,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
43,9119,0,0,0,12,17,8,11.75,6,12,19,6,12.166666666666666,Dropout
1,9238,1,0,0,6,7,6,14.0,0,6,7,6,14.0,Graduate
1,9238,1,0,0,6,6,6,12.833333333333334,0,6,6,6,12.0,Graduate
1,9773,1,0,0,6,11,4,12.25,0,6,10,3,11.666666666666666,Graduate
17,9500,1,0,0,8,8,7,14.828571428571427,0,8,8,7,14.828571428571427,Graduate
1,9773,1,0,1,6,7,5,11.4,0,6,8,5,12.8,Graduate
1,9070,1,0,1,6,6,6,13.0,0,6,8,6,12.5,Graduate
1,9500,1,0,1,8,8,7,13.671428571428573,0,8,8,7,13.671428571428573,Graduate
44,9003,1,0,1,6,9,6,12.666666666666666,0,6,8,5,12.8,Graduate
1,9147,0,0,0,5,10,2,10.0,0,5,12,1,13.0,Dropout
17,9147,1,0,0,5,10,5,13.5,0,5,8,5,12.333333333333334,Graduate
1,9500,1,0,0,7,8,7,12.67,1,8,8,8,13.55,Graduate
1,9238,1,0,0,6,8,6,14.5,0,6,7,6,15.428571428571429,Graduate
17,9500,1,0,0,7,7,7,13.685714285714283,0,8,8,8,15.3875,Graduate
42,9853,1,0,0,6,8,5,11.0,0,6,10,3,10.666666666666666,Dropout
7,9130,0,0,0,9,16,7,11.555555555555555,5,7,12,5,13.2,Dropout
1,9500,1,0,1,7,7,7,13.79714285714286,0,8,8,8,13.775,Enrolled
1,9500,1,0,1,7,8,7,14.00375,0,8,11,7,13.812857142857142,Graduate
16,9147,1,0,1,5,8,4,12.0,0,5,8,4,11.4,Graduate
1,8014,1,0,1,6,9,5,14.166666666666666,0,6,7,6,14.166666666666666,Graduate
51,9991,1,0,0,5,5,5,14.0,0,5,5,5,13.8,Graduate
1,9070,1,0,1,6,7,5,13.8,0,6,6,6,12.833333333333334,Graduate
1,8014,1,0,0,6,8,5,12.8,0,6,10,6,11.857142857142858,Graduate
39,9773,1,0,0,6,6,6,12.166666666666666,0,6,6,6,13.833333333333334,Graduate
17,9070,1,0,0,6,8,6,12.5,0,6,6,6,12.333333333333334,Enrolled
39,8014,1,0,0,6,9,4,12.0,0,6,12,4,11.5,Graduate
18,8014,1,0,1,6,8,6,10.833333333333334,0,6,9,6,11.5,Graduate
39,9500,1,0,0,8,8,8,13.385,0,8,8,8,13.385,Graduate
17,9085,1,0,0,6,14,6,15.666666666666666,0,6,9,6,14.5,Graduate
44,9003,1,0,1,6,9,6,14.333333333333334,0,6,7,6,13.833333333333334,Graduate
44,9003,1,0,0,6,10,6,11.428571428571429,0,6,12,5,13.0,Enrolled
17,9238,1,0,1,6,9,6,11.666666666666666,0,6,8,6,11.666666666666666,Graduate
1,9070,1,0,1,6,9,5,12.0,0,6,10,2,11.333333333333334,Dropout
1,9500,1,0,1,8,8,7,14.725714285714288,0,8,8,7,14.725714285714288,Graduate
17,9773,1,0,1,6,6,6,14.166666666666666,0,6,6,6,13.666666666666666,Graduate
1,9238,1,0,0,6,10,6,11.571428571428571,0,6,8,6,12.333333333333334,Graduate
17,9556,1,0,0,7,7,7,12.5,0,8,8,8,13.1375,Graduate
1,9500,1,0,0,8,10,8,12.86,0,8,10,8,12.86,Graduate
17,9670,1,0,0,6,10,6,12.25,0,6,9,6,13.714285714285714,Graduate
1,9085,1,0,1,5,7,4,12.0,0,5,5,5,12.2,Graduate
1,9500,1,0,1,7,9,7,15.116666666666667,0,8,9,8,16.168888888888887,Graduate
51,9670,0,0,0,5,6,2,12.5,0,5,6,4,10.25,Dropout
17,9238,1,0,0,6,11,0,0.0,0,6,0,0,0.0,Dropout
1,9670,1,0,0,6,8,4,11.0,0,6,9,4,11.0,Enrolled
17,9670,1,0,0,6,8,6,11.875,0,6,11,4,14.6,Graduate
39,9130,1,0,0,5,6,1,11.0,0,5,5,0,0.0,Dropout
1,9085,1,0,0,5,5,5,15.2,0,5,6,5,13.2,Graduate
44,9130,0,0,0,6,7,5,11.6,1,6,12,2,11.0,Dropout
51,9238,1,0,0,6,6,6,14.833333333333334,0,6,7,6,15.142857142857142,Graduate
17,9853,1,0,0,6,12,3,11.333333333333334,0,6,10,3,11.333333333333334,Dropout
17,9147,1,0,1,5,5,5,11.2,0,5,5,5,11.8,Graduate
17,9853,1,0,1,6,8,5,13.4,0,6,9,5,13.666666666666666,Graduate
51,9147,1,0,0,5,12,2,10.5,0,5,5,0,0.0,Dropout
1,9147,1,0,0,5,5,5,16.2,0,5,5,5,16.4,Graduate
1,9500,1,0,1,7,7,7,14.542857142857144,0,8,11,8,14.88181818181818,Graduate
1,9500,1,0,0,7,7,7,13.694285714285714,0,8,9,8,14.355555555555554,Graduate
1,9238,1,0,1,6,8,6,11.285714285714286,0,6,10,6,11.857142857142858,Graduate
17,9500,1,0,0,7,11,6,11.757142857142856,0,8,12,6,13.083333333333334,Enrolled
7,9085,0,0,0,3,3,0,0.0,0,6,0,0,0.0,Dropout
42,9500,1,0,1,8,8,7,13.058571428571428,0,8,8,7,13.058571428571428,Graduate
1,9500,1,0,0,7,7,7,14.3,0,8,9,8,14.055555555555555,Graduate
43,9147,1,0,0,10,15,5,11.8,4,10,14,8,12.0,Graduate
5,9085,1,0,0,5,9,3,10.333333333333334,0,5,8,3,13.0,Enrolled
1,9254,1,0,0,6,7,6,10.571428571428571,0,6,11,3,11.666666666666666,Graduate
43,9500,1,0,0,7,7,6,13.333333333333334,0,7,7,6,13.333333333333334,Graduate
1,9238,1,0,0,6,10,6,11.857142857142858,0,6,9,5,11.0,Graduate
1,9853,1,0,0,6,9,5,12.6,0,6,8,5,11.4,Enrolled
1,9085,1,0,0,5,11,5,14.0,0,5,7,5,11.6,Enrolled
1,9853,1,0,0,7,12,5,12.0,0,7,9,6,12.666666666666666,Enrolled
44,9119,1,0,0,5,6,0,0.0,0,5,5,0,0.0,Dropout
